acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0001157523-17-001334,1163165,CONOCOPHILLIPS,2017-05-02,2217,14920,0.0,,,
0001099800-17-000031,1099800,Edwards Lifesciences Corp,2017-10-24,4375,27498,0.0,,,
0000831259-24-000028,831259,FREEPORT-MCMORAN INC,2024-07-23,20259,124973,0.0,,,
0000029915-17-000003,29915,DOW CHEMICAL CO /DE/,2017-01-26,10359,65646,0.3572494896871096,supplemental information,Supplemental Information,
0001666700-23-000003,1666700,"DuPont de Nemours, Inc.",2023-02-07,7691,49907,0.0,,,
0000002488-16-000102,2488,ADVANCED MICRO DEVICES INC,2016-01-19,5734,35377,0.0,,,
0001413329-23-000196,1413329,Philip Morris International Inc.,2023-10-19,10268,62690,0.0,,,
0000080661-20-000030,80661,PROGRESSIVE CORP/OH/,2020-07-15,2992,19472,0.6683956450287593,supplemental information,SUPPLEMENTAL INFORMATION,
0001555280-18-000030,1555280,Zoetis Inc.,2018-02-15,7905,47718,0.0,,,
0001193125-16-557495,1156039,"Elevance Health, Inc.",2016-04-27,4492,29471,0.0,,,
0001564590-19-000682,1364742,"BlackRock Finance, Inc.",2019-01-16,7773,46947,0.7839691567086289,supplemental information,Supplemental information:,
0000875320-18-000002,875320,VERTEX PHARMACEUTICALS INC / MA,2018-01-31,5884,37658,0.0,,,
0001193125-17-324958,1034054,SBA COMMUNICATIONS CORP,2017-10-30,6405,41267,0.0,,,
0000049071-21-000110,49071,HUMANA INC,2021-07-28,4923,33075,0.0,,,
0000086312-22-000064,86312,"TRAVELERS COMPANIES, INC.",2022-10-19,10097,63870,0.0,,,
0000072741-18-000049,72741,EVERSOURCE ENERGY,2018-07-31,1670,11247,0.0,,,
0001633917-26-000065,1633917,"PayPal Holdings, Inc.",2026-05-05,5892,38590,0.0,,,
0001193125-26-022733,73309,NUCOR CORP,2026-01-26,3632,22571,0.0,,,
0000104169-17-000052,104169,Walmart Inc.,2017-08-17,4463,28183,0.44792960295213424,supplemental financial information,Supplemental Financial Information,
0000034088-18-000006,34088,EXXON MOBIL CORP,2018-02-02,4888,31638,0.0,,,
0001585521-23-000031,1585521,"Zoom Communications, Inc.",2023-02-27,4454,30287,0.0,,,
0000079879-18-000041,79879,PPG INDUSTRIES INC,2018-06-28,1747,11395,0.0,,,
0001193125-20-110825,766704,WELLTOWER INC.,2020-04-17,1161,8374,0.0,,,
0001018724-19-000087,1018724,AMAZON COM INC,2019-10-24,7351,43852,0.27932591443947824,supplemental financial information,Supplemental Financial Information and Business Metrics,
0001543151-26-000019,1543151,"Uber Technologies, Inc",2026-05-06,4910,32821,0.0,,,
0000027419-22-000002,27419,TARGET CORP,2022-03-01,3790,23887,0.0,,,
0000320193-23-000063,320193,Apple Inc.,2023-05-04,1503,10419,0.0,,,
0000002488-23-000074,2488,ADVANCED MICRO DEVICES INC,2023-05-02,3700,24508,0.0,,,
0001603286-16-000012,715957,"DOMINION ENERGY, INC",2016-08-03,2769,18125,0.0,,,
0001628280-25-045577,21344,COCA COLA CO,2025-10-21,11986,77004,0.0,,,
0000005272-23-000041,5272,"AMERICAN INTERNATIONAL GROUP, INC.",2023-11-01,10013,64330,0.0,,,
0000732717-19-000006,732717,AT&T INC.,2019-01-30,2063,13343,0.0,,,
0001413329-21-000086,1413329,Philip Morris International Inc.,2021-10-19,19303,116984,0.0,,,
0000875045-16-000069,875045,BIOGEN INC.,2016-10-26,3916,24926,0.0,,,
0000320187-18-000235,320187,"NIKE, Inc.",2018-12-20,2122,12318,0.0,,,
