cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_item_absent_from_toc,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
27419,TARGET CORP,consumer,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,4364.0
29915,DOW CHEMICAL CO /DE/,materials_realestate,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,19840.0
29915,DOW CHEMICAL CO /DE/,materials_realestate,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,3304.0
30554,"EIDP, Inc.",materials_realestate,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,19517.0
30554,"EIDP, Inc.",materials_realestate,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,10009.0
33213,EQT Corp,energy,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,8997.0
33213,EQT Corp,energy,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,14835.0
34088,EXXON MOBIL CORP,energy,core,10-K,MDA,11,4,7,0,0,0.0,0.6364,3,0.0,0.0,mda_stub_unresolved_same_doc,4,14482.0
34088,EXXON MOBIL CORP,energy,core,10-K,RISK_FACTORS,11,4,7,0,0,0.0,0.6364,3,0.0,0.0,heading_regex_fallback,7,28793.0
36104,US BANCORP \DE\,financials,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,49.0
36104,US BANCORP \DE\,financials,core,10-K,RISK_FACTORS,11,0,11,0,0,0.0,1.0,3,0.0,0.0,below_length_floor,11,39.0
37996,FORD MOTOR CO,consumer,core,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,23123.0
37996,FORD MOTOR CO,consumer,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,7549.0
40533,GENERAL DYNAMICS CORP,industrials,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,9717.0
40533,GENERAL DYNAMICS CORP,industrials,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,2956.0
45012,HALLIBURTON CO,energy,core,10-K,MDA,11,7,4,0,0,0.0,0.3636,3,0.0,0.0,mda_stub_unresolved_same_doc,4,6812.0
45012,HALLIBURTON CO,energy,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,7024.0
47217,HP INC,tech,core,10-K,MDA,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,11387.0
47217,HP INC,tech,core,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,13472.0
49071,HUMANA INC,healthcare,core,10-K,MDA,11,6,5,0,0,0.0,0.4545,3,0.0,0.0,toc_recovered_f1,5,11530.0
49071,HUMANA INC,healthcare,core,10-K,RISK_FACTORS,11,6,5,0,0,0.0,0.4545,3,0.0,0.0,toc_recovered_f1,5,10738.0
49826,ILLINOIS TOOL WORKS INC,industrials,extension,10-K,MDA,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,12543.0
49826,ILLINOIS TOOL WORKS INC,industrials,extension,10-K,RISK_FACTORS,11,11,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,3624.0
50863,INTEL CORP,tech,core,10-K,MDA,11,3,8,0,0,0.0,0.7273,3,0.0,0.0,head_keyword_absent,1,17891.0
51143,INTERNATIONAL BUSINESS MACHINES CORP,tech,core,10-K,MDA,11,0,11,0,0,0.0,1.0,3,0.0,0.0,mda_stub_external_document,11,32.0
