chunk_id,arm
E2CHK-c2811f3c825e7eb2,G-N
E2CHK-2c90cf4ecfc18a2c,P
E2CHK-b2e00fa4731541aa,P
E2CHK-c6c7fad5d331f8a0,P
E2CHK-cb2a41379789f3af,P
E2CHK-abd698aac02b2ae8,P
E2CHK-9eb79b6b9ed12833,P
E2CHK-c4264ab9f3cf8e59,G-N
E2CHK-3eb3f6cfec783dba,P
E2CHK-57aced8928bd9a1d,P
E2CHK-e1d332ecd68c19f5,P
E2CHK-22f9206e6562326a,P
E2CHK-682e7a65b1a2464d,G-N
E2CHK-15bf587b7cca72e6,G-A
E2CHK-9cf41ac3a9678062,P
E2CHK-51bef9dd170a47a7,P
E2CHK-74ce7b78ae9042b5,G-N
E2CHK-d76995aaf3db0c47,P
E2CHK-1e67c55d53778851,G-A
E2CHK-d829f55ca8f37d7b,G-A
E2CHK-80517001894518ed,P
E2CHK-77d05055cdf09936,G-A
E2CHK-cc5d2223bb5c7434,P
E2CHK-13ac74e3f24918cf,P
E2CHK-051f807ab7340029,P
E2CHK-2b7216aa44bdef4a,P
E2CHK-ce249c623371ab45,P
E2CHK-5d92515d9b56cd6f,P
E2CHK-f8c72ef20e9f47e5,G-A
E2CHK-3a5f0a4b59768397,G-N
E2CHK-d36b7ebe315b5249,G-A
E2CHK-62aed2d9df1dab81,G-N
E2CHK-ce124a805a8a90ac,P
E2CHK-0e3ff17a9876d1b2,P
E2CHK-ca351fee70f42ff4,P
E2CHK-fdc144152bb9692f,G-N
E2CHK-1f23ec86898ef77d,P
E2CHK-d3ed4b842ec0082c,P
E2CHK-2436649c4242e5a7,P
E2CHK-b7915473737b6825,P
E2CHK-30362d4945bdde07,P
E2CHK-0bd15809fde55c9f,P
E2CHK-0b4cbf6fefa46b1e,P
E2CHK-55f3c41cbc0c40c4,P
E2CHK-e6e052bda541c8cd,P
E2CHK-4f560e57c0051a11,G-A
E2CHK-658a9ac193f51aec,G-N
E2CHK-52fa7e87bf812c16,P
E2CHK-2d6fc9a160857d12,P
E2CHK-ce72bb5abc821df6,G-A
E2CHK-4fa532d3a2d17f1e,P
E2CHK-cd70cef40486e00d,P
E2CHK-0d2fcecfba4443e1,P
E2CHK-e2b50bc7b83e55e1,P
E2CHK-f7fab9fd23872ef2,P
E2CHK-993aebfd867560b5,G-N
E2CHK-95735ebb8e759307,P
E2CHK-2066076789fd74d5,P
E2CHK-3f35dadfb12041e2,P
E2CHK-4f5e27f7fdc80654,G-N
E2CHK-373ad9d2105f676c,G-A
E2CHK-1dc28f80d6be3058,P
E2CHK-e9eb3b68f3b42be6,P
E2CHK-1e2619c28f2f551f,G-A
E2CHK-b9201930e2c6eb33,G-A
