cik,name,instant,filed,val,accn,form,reason
885590,Bausch Health Companies Inc.,2015-06-30,2016-04-29,75445451000.0,0000885590-16-000101,10-K,neighbour_jump
908937,SIRIUS XM HOLDINGS INC.,2024-06-30,2025-01-30,0.0,0000908937-25-000005,10-K,zero_or_negative
909281,ONEOK Partners LP,2009-06-30,2009-08-06,2.7,0000909281-09-000056,10-Q,below_floor
910606,REGENCY CENTERS CORP,2011-06-30,2012-02-29,2752880606000.0,0000910606-12-000004,10-K,neighbour_jump
911421,PARTNERRE LTD,2011-06-30,2012-02-24,4654659330000.0,0001193125-12-077514,10-K,neighbour_jump
911421,PARTNERRE LTD,2011-06-30,2012-02-29,4654659330000.0,0001193125-12-089176,10-K/A,neighbour_jump
912750,NEWFIELD EXPLORATION CO /DE/,2011-03-31,2011-04-25,1.02e+16,0000912750-11-000016,10-Q,above_ceiling
915913,ALBEMARLE CORP,2011-06-30,2012-02-22,1e+18,0001193125-12-071957,10-K,above_ceiling
916457,CALPINE CORP,2018-06-30,2019-03-28,0.0,0000916457-19-000016,10-K,zero_or_negative
916457,CALPINE CORP,2019-06-30,2020-02-25,0.0,0000916457-20-000007,10-K,zero_or_negative
924515,GUIDED THERAPEUTICS INC,2012-03-06,2012-03-28,52433.0,0001121781-12-000081,10-K,below_floor
924515,GUIDED THERAPEUTICS INC,2012-05-07,2012-05-14,52947.0,0001121781-12-000160,10-Q,below_floor
924515,GUIDED THERAPEUTICS INC,2012-08-07,2012-08-24,61346.0,0001121781-12-000291,10-Q/A,below_floor
924515,GUIDED THERAPEUTICS INC,2014-06-30,2015-03-25,36615302000.0,0001121781-15-000054,10-K,neighbour_jump
924515,GUIDED THERAPEUTICS INC,2015-06-30,2016-03-15,12797304000.0,0001121781-16-000420,10-K,neighbour_jump
924515,GUIDED THERAPEUTICS INC,2018-12-31,2019-05-08,800000000.0,0001654954-19-005469,10-K,neighbour_jump
924515,GUIDED THERAPEUTICS INC,2019-12-31,2020-04-20,500000000.0,0001654954-20-004236,10-K,neighbour_jump
924515,GUIDED THERAPEUTICS INC,2020-12-31,2021-04-07,4000000000.0,0001654954-21-003915,10-K,neighbour_jump
929351,STARZ ENTERTAINMENT CORP /CN/,2024-09-30,2025-06-26,0.0,0000929351-25-000038,10-K,zero_or_negative
929351,STARZ ENTERTAINMENT CORP /CN/,2024-09-30,2025-07-29,0.0,0000929351-25-000069,10-K/A,zero_or_negative
941548,CAMERON INTERNATIONAL CORP,2014-06-30,2015-02-20,10963.201206,0001140361-15-008196,10-K,below_floor
945384,CICERO INC,2012-03-21,2012-04-16,0.0,0001354488-12-001916,10-K,zero_or_negative
945384,CICERO INC,2014-06-30,2015-03-31,2832992000.0,0001354488-15-001473,10-K,neighbour_jump
945384,CICERO INC,2015-06-30,2016-03-30,7612315000.0,0001354488-16-006771,10-K,neighbour_jump
945384,CICERO INC,2016-06-30,2017-03-31,4806325000.0,0001654954-17-002864,10-K,neighbour_jump
945384,CICERO INC,2017-06-30,2018-03-30,1850431000.0,0001654954-18-003388,10-K,neighbour_jump
945384,CICERO INC,2018-06-29,2019-03-29,1767265000.0,0001654954-19-003609,10-K,neighbour_jump
945384,CICERO INC,2019-06-30,2020-03-27,1289719000.0,0001654954-20-003366,10-K,neighbour_jump
1000229,CORE LABORATORIES N V,2010-06-30,2010-07-26,3246369238.0,0001000229-10-000019,10-Q,neighbour_jump
